formula,adsorbate,adsorption_energy_eV,species_ratio,metal_nonmetal_ratio,metal_radius,nonmetal_radius,mean_bond_length,miller_index,packing_density,metal_electronegativity,metal_valence,nonmetal_electronegativity,nonmetal_valence,electronegativity_ratio,fermi_energy,band_gap,magnetic_moment,reference,remarks,formation_energy,bulk_modulus,shear_modulus,eps_avg,jid,e_hull
InSe,Li2S6,0.8,0.25,1.0,156,103,2.68,5,0.361,1.78,3,2.55,6,0.6980392156862746,3.13,0.46,0.0,https://doi.org/10.1016/j.apsusc.2021.151213,,-0.50623,29.705000000000002,16.299999999999997,12.5,JVASP-InSe,0.0883
InSe,Li2S4,0.95,0.33,1.0,156,103,2.68,5,0.361,1.78,3,2.55,6,0.6980392156862746,3.13,0.46,0.0,https://doi.org/10.1016/j.apsusc.2021.151213,,-0.50623,29.705000000000002,16.299999999999997,12.5,JVASP-InSe,0.0883
SnSe,S8,0.77,0.0,1.0,145,103,2.82,1,0.341,1.96,4,2.55,6,0.7686274509803922,4.885,0.47,0.0,https://doi.org/10.1016/j.apsusc.2021.151213,,-0.48235,34.192499999999995,20.91,12.5,JVASP-SnSe,0.3539
SnSe,Li2S8,1.05,0.2,1.0,145,103,2.82,1,0.341,1.96,4,2.55,6,0.7686274509803922,4.885,0.47,0.0,https://doi.org/10.1016/j.apsusc.2021.151213,,-0.48235,34.192499999999995,20.91,12.5,JVASP-SnSe,0.3539
SnSe,Li2S6,1.16,0.25,1.0,145,103,2.82,1,0.341,1.96,4,2.55,6,0.7686274509803922,4.885,0.47,0.0,https://doi.org/10.1016/j.apsusc.2021.151213,,-0.48235,34.192499999999995,20.91,12.5,JVASP-SnSe,0.3539
SnSe,Li2S4,1.18,0.33,1.0,145,103,2.82,1,0.341,1.96,4,2.55,6,0.7686274509803922,4.885,0.47,0.0,https://doi.org/10.1016/j.apsusc.2021.151213,,-0.48235,34.192499999999995,20.91,12.5,JVASP-SnSe,0.3539
SnSe2,S8,0.56,0.0,0.5,145,103,2.75,1,0.317,1.96,4,2.55,6,0.7686274509803922,2.711,0.7,0.01,https://doi.org/10.1016/j.apsusc.2021.151213,,-0.33426,37.68,20.75,12.5,JVASP-SnSe2,0.8304
SnSe2,Li2S8,0.89,0.2,0.5,145,103,2.75,1,0.317,1.96,4,2.55,6,0.7686274509803922,2.711,0.7,0.01,https://doi.org/10.1016/j.apsusc.2021.151213,,-0.33426,37.68,20.75,12.5,JVASP-SnSe2,0.8304
SnSe2,Li2S6,0.81,0.25,0.5,145,103,2.75,1,0.317,1.96,4,2.55,6,0.7686274509803922,2.711,0.7,0.01,https://doi.org/10.1016/j.apsusc.2021.151213,,-0.33426,37.68,20.75,12.5,JVASP-SnSe2,0.8304
SnSe2,Li2S4,1.15,0.33,0.5,145,103,2.75,1,0.317,1.96,4,2.55,6,0.7686274509803922,2.711,0.7,0.01,https://doi.org/10.1016/j.apsusc.2021.151213,,-0.33426,37.68,20.75,12.5,JVASP-SnSe2,0.8304
WSe2,S8,0.81,0.0,0.5,193,103,2.55,5,0.318,1.7,8,2.55,6,0.6666666666666667,4.349,1.45,0.0,https://doi.org/10.1016/j.apsusc.2021.151213,,-0.54463,41.436,30.077999999999996,12.5,JVASP-WSe2,3.0365
WSe2,Li2S8,1.01,0.2,0.5,193,103,2.55,5,0.318,1.7,8,2.55,6,0.6666666666666667,4.349,1.45,0.0,https://doi.org/10.1016/j.apsusc.2021.151213,,-0.54463,41.436,30.077999999999996,12.5,JVASP-WSe2,3.0365
WSe2,Li2S6,0.97,0.25,0.5,193,103,2.55,5,0.318,1.7,8,2.55,6,0.6666666666666667,4.349,1.45,0.0,https://doi.org/10.1016/j.apsusc.2021.151213,,-0.54463,41.436,30.077999999999996,12.5,JVASP-WSe2,3.0365
WSe2,Li2S4,1.06,0.33,0.5,193,103,2.55,5,0.318,1.7,8,2.55,6,0.6666666666666667,4.349,1.45,0.0,https://doi.org/10.1016/j.apsusc.2021.151213,,-0.54463,41.436,30.077999999999996,12.5,JVASP-WSe2,3.0365
Cu2Se,S8,0.89,0.0,2.0,145,103,2.43,8,0.516,1.9,11,2.55,6,0.7450980392156863,5.33,0.0,0.0,https://doi.org/10.1021/acsnano.2c03788,用了Imm2（晶系相同）,-0.05503,73.72749999999999,7.9,12.5,JVASP-Cu2Se,0.1429
Cu2Se,Li2S8,1.15,0.2,2.0,145,103,2.43,8,0.516,1.9,11,2.55,6,0.7450980392156863,5.33,0.0,0.0,https://doi.org/10.1021/acsnano.2c03788,,-0.05503,73.72749999999999,7.9,12.5,JVASP-Cu2Se,0.1429
Cu2Se,Li2S6,1.87,0.25,2.0,145,103,2.43,8,0.516,1.9,11,2.55,6,0.7450980392156863,5.33,0.0,0.0,https://doi.org/10.1021/acsnano.2c03788,,-0.05503,73.72749999999999,7.9,12.5,JVASP-Cu2Se,0.1429
Cu2Se,Li2S4,1.62,0.33,2.0,145,103,2.43,8,0.516,1.9,11,2.55,6,0.7450980392156863,5.33,0.0,0.0,https://doi.org/10.1021/acsnano.2c03788,,-0.05503,73.72749999999999,7.9,12.5,JVASP-Cu2Se,0.1429
Cu2Se,Li2S2,1.23,0.5,2.0,145,103,2.43,8,0.516,1.9,11,2.55,6,0.7450980392156863,5.33,0.0,0.0,https://doi.org/10.1021/acsnano.2c03788,,-0.05503,73.72749999999999,7.9,12.5,JVASP-Cu2Se,0.1429
Cu1.8Se,S8,1.68,0.0,1.8,145,103,2.51,3,0.544,1.9,11,2.55,6,0.7450980392156863,5.914,0.0,0.0,https://doi.org/10.1021/acsnano.2c03788,用Cu2Se（空间群相同，Fm-3m）,-0.05503,73.7275,7.9,12.5,JVASP-Cu1.8Se,0.1429
Cu1.8Se,Li2S8,2.25,0.2,1.8,145,103,2.51,3,0.544,1.9,11,2.55,6,0.7450980392156863,5.914,0.0,0.0,https://doi.org/10.1021/acsnano.2c03788,,-0.05503,73.7275,7.9,12.5,JVASP-Cu1.8Se,0.1429
Cu1.8Se,Li2S6,3.67,0.25,1.8,145,103,2.51,3,0.544,1.9,11,2.55,6,0.7450980392156863,5.914,0.0,0.0,https://doi.org/10.1021/acsnano.2c03788,,-0.05503,73.7275,7.9,12.5,JVASP-Cu1.8Se,0.1429
Cu1.8Se,Li2S4,3.21,0.33,1.8,145,103,2.51,3,0.544,1.9,11,2.55,6,0.7450980392156863,5.914,0.0,0.0,https://doi.org/10.1021/acsnano.2c03788,,-0.05503,73.7275,7.9,12.5,JVASP-Cu1.8Se,0.1429
Cu1.8Se,Li2S2,2.86,0.5,1.8,145,103,2.51,3,0.544,1.9,11,2.55,6,0.7450980392156863,5.914,0.0,0.0,https://doi.org/10.1021/acsnano.2c03788,,-0.05503,73.7275,7.9,12.5,JVASP-Cu1.8Se,0.1429
ZnO,S8,3.94,0.0,1.0,142,48,2.01,4,0.458,1.65,12,3.44,6,0.4796511627906976,0.889,0.72,0.0,https://doi.org/10.1016/j.cej.2021.129707,,-1.59197,143.80166666666668,44.626666666666665,12.5,JVASP-ZnO,0.0
ZnO,Li2S8,5.21,0.2,1.0,142,48,2.01,4,0.458,1.65,12,3.44,6,0.4796511627906976,0.889,0.72,0.0,https://doi.org/10.1016/j.cej.2021.129707,,-1.59197,143.80166666666668,44.626666666666665,12.5,JVASP-ZnO,0.0
ZnO,Li2S6,3.84,0.25,1.0,142,48,2.01,4,0.458,1.65,12,3.44,6,0.4796511627906976,0.889,0.72,0.0,https://doi.org/10.1016/j.cej.2021.129707,,-1.59197,143.80166666666668,44.626666666666665,12.5,JVASP-ZnO,0.0
ZnO,Li2S4,4.34,0.33,1.0,142,48,2.01,4,0.458,1.65,12,3.44,6,0.4796511627906976,0.889,0.72,0.0,https://doi.org/10.1016/j.cej.2021.129707,,-1.59197,143.80166666666668,44.626666666666665,12.5,JVASP-ZnO,0.0
ZnO,Li2S2,5.52,0.5,1.0,142,48,2.01,4,0.458,1.65,12,3.44,6,0.4796511627906976,0.889,0.72,0.0,https://doi.org/10.1016/j.cej.2021.129707,,-1.59197,143.80166666666668,44.626666666666665,12.5,JVASP-ZnO,0.0
ZnSe,S8,2.68,0.0,1.0,142,103,2.49,3,0.353,1.65,12,2.55,6,0.6470588235294118,1.309,1.17,0.0,https://doi.org/10.1002/advs.202103456,,-0.71802,49.910000000000004,24.873333333333335,12.5,JVASP-ZnSe,0.0
